rango_edad,edad_media,robo_vehiculos,robo_motocicletas,robo_armasfuego,robo_peatones,robo_residencias,robo_comercios,robo_buses,year
<15,10,-,-,-,8,-,3,-,2020
15-19,17,4,67,2,100,3,13,-,2020
20-24,22,43,335,17,142,16,41,-,2020
25-29,27,69,263,22,103,34,57,-,2020
30-34,32,83,159,30,86,39,58,-,2020
35-39,37,79,94,35,52,34,56,-,2020
40-44,42,63,67,43,28,26,34,-,2020
45-49,47,40,42,28,27,24,25,-,2020
50-54,52,23,23,18,23,20,12,-,2020
55-59,57,23,16,13,4,12,8,-,2020
>60,65,22,11,34,21,26,14,1,2020
